2024-08-26T19:54:01.281Z info: Server running on port 5000
2024-08-26T19:54:01.293Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:01.295Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:01.354Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:01.355Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:01.461Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:01.464Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:01.632Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:01.633Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:01.858Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:01.859Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:02.131Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:02.132Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:02.436Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:02.438Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:02.802Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:02.803Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:03.217Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:03.218Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:03.668Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:03.670Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:04.172Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:04.173Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:04.734Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:04.735Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:05.345Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:05.346Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:06.009Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:06.010Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
